Candidate,Description,Votes,Electorate,Turnout,Spoilt ballots,Ward,vote_share
ANDERSON Caroline Helen,The Conservative Party Candidate,4527,16380,50.0,54,Adel & Wharfedale,56.0
BRIDGES Chris,Labour Party,1975,16380,50.0,54,Adel & Wharfedale,24.4
JEFFRIES Lesley Evelyn,Green Party,566,16380,50.0,54,Adel & Wharfedale,7.0
WHITE Keith Michael,Liberal Democrats,1022,16380,50.0,54,Adel & Wharfedale,12.6
BUCKLEY Neil Alan,The Conservative Party Candidate,4481,17690,44.3,44,Alwoodley,57.8
DEWS Howard Graham,Yorkshire Party,245,17690,44.3,44,Alwoodley,3.2
HEGAN Amy Margot,Labour Party,2370,17690,44.3,44,Alwoodley,30.6
JACKSON Brian,Alliance for Green Socialism - Save NHS,152,17690,44.3,44,Alwoodley,2.0
JENNINGS Louise Mary,Women's Equality Party,174,17690,44.3,44,Alwoodley,2.2
PARKER Roderic,Liberal Democrats,328,17690,44.3,44,Alwoodley,4.2
CREASSER David,Social Democratic Party,71,17778,36.0,48,Ardsley & Robin Hood,1.1
FOSTER Mike,The Conservative Party Candidate,3006,17778,36.0,48,Ardsley & Robin Hood,47.4
GARNER Ben,Labour and Co-operative Party,2639,17778,36.0,48,Ardsley & Robin Hood,41.6
NOBLE Colin Lindsay,Green Party,372,17778,36.0,48,Ardsley & Robin Hood,5.9
WARD Benjamin Lloyd,Liberal Democrats,260,17778,36.0,48,Ardsley & Robin Hood,4.1
CHAVES-SANDERSON Richard,Trade Unionist and Socialist Coalition,83,17336,29.3,38,Armley,1.6
KOVACS Tamas,The Conservative Party Candidate,1026,17336,29.3,38,Armley,20.4
MARTIN Andrew Alexander,Social Democratic Party,43,17336,29.3,38,Armley,0.9
MCKENNA Jim,Labour Party,2858,17336,29.3,38,Armley,56.8
ROLLINSON Mark Terence,Green Party,815,17336,29.3,38,Armley,16.2
WALKER Dan,Liberal Democrats,211,17336,29.3,38,Armley,4.2
ALMASS Gohar,Labour and Co-operative Party,2777,17887,29.4,38,Beeston & Holbeck,53.2
JACQUES Robert Hugh,Liberal Democrats,117,17887,29.4,38,Beeston & Holbeck,2.2
KELLETT Becky,Green Party,748,17887,29.4,38,Beeston & Holbeck,14.3
