AreaName,CandidateForename,CandidateSurname,CandidateDescription,CandidateVotes,Electorate,Turnout,Spoilt_ballots
Adel & Wharfedale,Caroline Helen,ANDERSON,The Conservative Party Candidate,3274,16743,44.4%,36
Adel & Wharfedale,Fiona Sarah Heather,LOVE,Green Party,503,16743,44.4%,36
Adel & Wharfedale,Jane,ORTON,Labour Party,2563,16743,44.4%,36
Adel & Wharfedale,Corey,ROBINSON,Yorkshire Party,228,16743,44.4%,36
Adel & Wharfedale,Sharon Margaret,SLINGER,Liberal Democrats,838,16743,44.4%,36
Alwoodley,Neil Alan,BUCKLEY,The Conservative Party Candidate,3390,17242,40.4%,36
Alwoodley,Jackie,ELLIS,Labour Party,2368,17242,40.4%,36
Alwoodley,Howard Alan,FOREMAN,Liberal Democrats,481,17242,40.4%,36
Alwoodley,Rio,GOLDHAMMER,Yorkshire Party,176,17242,40.4%,36
Alwoodley,Louise Mary,JENNINGS,Green Party,520,17242,40.4%,36
Ardsley & Robin Hood,Karen,BRUCE,Labour and Co-operative Party,2240,17597,30.9%,32
Ardsley & Robin Hood,Claire Jane,BUXTON,Yorkshire Party,449,17597,30.9%,32
Ardsley & Robin Hood,Mark,DANIELS,Social Democratic Party,102,17597,30.9%,32
Ardsley & Robin Hood,Mike,FOSTER,The Conservative Party Candidate,1455,17597,30.9%,32
Ardsley & Robin Hood,Alaric Timothy Peter,HALL,Green Party,261,17597,30.9%,32
Ardsley & Robin Hood,Tom,LEADLEY,Liberal Democrats,907,17597,30.9%,32
Armley,Richard Denis,BANKS,Labour Party,2041,17086,28.5%,35
Armley,Warwick Charles,BETTNEY,Social Democratic Party,41,17086,28.5%,35
Armley,Lou,CUNNINGHAM,Green Party,2113,17086,28.5%,35
Armley,Rachel,MARTINS,Yorkshire Party,205,17086,28.5%,35
Armley,Dan,WALKER,Liberal Democrats,105,17086,28.5%,35
Armley,Adam Vincent James,WESTWOOD,The Conservative Party Candidate,321,17086,28.5%,35
Beeston & Holbeck,Shaf,ALI,Labour Party,2533,18645,25.9%,49
Beeston & Holbeck,Bradley Kenneth,CHANDLER,The Conservative Party Candidate,572,18645,25.9%,49
Beeston & Holbeck,Louie,FULTON,Trade Unionist and Socialist Coalition,113,18645,25.9%,49
Beeston & Holbeck,Matt,ROGAN,Green Party,1092,18645,25.9%,49
Beeston & Holbeck,George,SYKES,Liberal Democrats,226,18645,25.9%,49
Beeston & Holbeck,Sasha,WATSON,Social Democratic Party,247,18645,25.9%,49
Bramley & Stanningley,Elizabeth Anne,BEE,Liberal Democrats,487,16907,26.3%,45
Bramley & Stanningley,Adam Daniel,COOK,The Conservative Party Candidate,632,16907,26.3%,45
Bramley & Stanningley,Adele,RAE,Labour Party,2675,16907,26.3%,45
Bramley & Stanningley,Richard David,RILEY,Social Democratic Party,82,16907,26.3%,45
Bramley & Stanningley,Keith Duncan,WHITTAKER,Green Party,521,16907,26.3%,45
Burmantofts & Richmond Hill,Taiwo Funmilayo,ADEYEMI,The Conservative Party Candidate,328,16988,24.9%,31
Burmantofts & Richmond Hill,Richard,CHAVES-SANDERSON,Trade Unionist and Socialist Coalition,81,16988,24.9%,31
Burmantofts & Richmond Hill,David Ewan,HOLLINGSWORTH,Liberal Democrats,317,16988,24.9%,31
Burmantofts & Richmond Hill,Asghar,KHAN,Labour and Co-operative Party,2752,16988,24.9%,31
